Price (£),Property Type,Bedrooms,Bathrooms,"Size, sq. ft."
"625,000",Semi-Detached,3,2,
"550,000",End of Terrace,4,1,
"450,000",Semi-Detached,2,1,
"475,000",Terraced,4,1,
"575,000",Semi-Detached,4,2,
"450,000",House,3,1,
"399,995",House,3,1,
"610,000",Semi-Detached,3,2,
"900,000",Detached,3,1,
"285,000",Maisonette,2,1,
"515,000",End of Terrace,3,1,
"525,000",Semi-Detached,2,1,
"740,000",Detached,4,2,
"465,000",House,3,1,"1,163"
"400,000",Bungalow,2,1,
"450,000",Semi-Detached,3,2,
"750,000",Semi-Detached,4,1,
"165,000",Flat,1,1,
"875,000",Semi-Detached,3,2,
"400,000",Flat,2,1,
"350,000",Terraced,3,2,
"500,000",Terraced,3,1,
"375,000",Bungalow,2,1,
"325,000",End of Terrace,2,1,
"385,000",Terraced,2,1,
"400,000",End of Terrace,2,2,762
"475,000",House,3,1,
"350,000",End of Terrace,2,2,
"400,000",Terraced,3,2,
"399,995",Terraced,3,2,
"525,000",Semi-Detached,3,1,
"530,000",Semi-Detached,3,1,
"480,000",Semi-Detached,3,1,
"465,000",Semi-Detached,3,1,
"950,000",Detached,4,2,
"200,000",Flat,1,1,
"425,000",Terraced,2,1,
"525,000",Semi-Detached,3,1,
"315,000",Penthouse,2,1,
"525,000",Semi-Detached,3,1,
"700,000",Semi-Detached,4,3,
"575,000",Detached,3,1,
"950,000",Semi-Detached,4,2,"1,593"
"132,500",Flat,2,1,
"440,000",Terraced,3,1,
"500,000",Terraced,3,2,
"500,000",Semi-Detached,3,1,
"750,000",Semi-Detached,4,3,"1,582"
"425,000",Bungalow,2,1,
"200,000",Apartment,2,1,592
"750,000",Semi-Detached,5,2,
"300,000",Ground Maisonette,2,1,
"295,000",Penthouse,2,2,
"600,000",Semi-Detached,3,2,
"675,000",Semi-Detached,4,2,
"390,000",Semi-Detached,3,1,
"225,000",Flat,2,1,
"775,000",Link Detached House,4,2,
"285,000",Flat,2,1,
"600,000",Semi-Detached,4,2,
"320,000",Maisonette,3,1,
"210,000",Flat,1,1,
"275,000",Flat,2,1,
"580,000",Semi-Detached,5,2,
"450,000",Terraced,3,1,
"325,000",Maisonette,2,1,
"465,000",Flat,2,2,
"300,000",Flat,3,1,
"375,000",Terraced,2,1,
"380,000",Flat,1,1,
"650,000",Semi-Detached,3,2,
"800,000",Semi-Detached,4,2,
"325,000",Terraced,3,1,
"375,000",Terraced,2,1,
"230,000",Flat,2,1,
"276,000",Apartment,1,1,538
"600,000",Bungalow,3,2,
"192,000",Flat,2,1,
"290,000",Flat,2,1,
"475,000",House,3,1,
"120,000",Flat,1,1,527
"425,000",End of Terrace,3,1,
"245,000",Maisonette,2,1,678
"325,000",Flat,2,2,
"110,000",Flat,,1,
"535,000",House,3,1,
"245,000",Flat,1,1,474
"299,000",Maisonette,2,1,
"575,000",Detached,2,1,
"400,000",Terraced,3,1,
"595,000",End of Terrace,3,1,
"525,000",Semi-Detached,3,,
"500,000",Bungalow,2,1,
"525,000",Semi-Detached,3,1,
"325,000",Terraced,3,1,
"425,000",House,3,1,
"550,000",Semi-Detached,4,2,
"600,000",Semi-Detached,4,2,
"575,000",Semi-Detached,3,1,
"260,000",End of Terrace,1,1,
"500,000",Terraced,3,2,
"450,000",Terraced,3,3,
"285,000",Maisonette,3,,
"385,000",End of Terrace,2,1,
"460,000",Semi-Detached,3,,
"440,000",Terraced,3,1,
"275,000",Flat,2,1,
"1,550,000",Detached,7,4,
"250,000",Plot,3,1,
"385,000",Terraced,2,1,
"725,000",Detached,4,2,
"307,500",Studio,,1,
"365,000",Apartment,1,1,
"140,000",Apartment,2,1,
"480,000",Apartment,2,1,
"625,000",Semi-Detached,3,2,
"450,000",House,3,2,"1,012"
"140,000",Retirement Property,2,,
"600,000",End of Terrace,5,3,431
"299,995",Maisonette,2,1,
"230,000",Flat,2,1,
"350,000",End of Terrace,2,1,
"950,000",Detached,3,2,
"525,000",Semi-Detached,3,1,
"460,000",Semi-Detached,3,1,
"425,000",Terraced,2,1,
"550,000",Semi-Detached,3,,
"475,000",Semi-Detached,3,1,
"535,000",Semi-Detached,3,1,
"580,000",Semi-Detached,5,2,"1,432"
"282,000",Flat,1,1,
"320,000",Retirement Property,1,1,
"900,000",Semi-Detached,4,2,
"700,000",Semi-Detached,5,2,
"625,000",Bungalow,3,2,
"635,000",Semi-Detached,4,,
"220,000",Flat,2,1,560
"220,000",Flat,2,1,560
"260,000",Ground Flat,2,,
"395,000",End of Terrace,2,1,
"250,000",Flat,2,1,
"350,000",Flat,2,2,
"250,000",Flat,2,1,
"277,500",Flat,2,1,
"675,000",Semi-Detached,4,2,
"290,000",Apartment,2,1,
"425,000",Semi-Detached Bungalow,2,1,
"250,000",Maisonette,2,1,
"390,000",Terraced,2,1,
"299,999",Maisonette,2,1,556
"260,000",Apartment,2,2,
"250,000",Flat,2,1,635
"525,000",Semi-Detached,3,1,
"275,000",Maisonette,2,,
"625,000",Semi-Detached,3,1,
"500,000",Semi-Detached,3,1,
"525,000",Semi-Detached,3,1,
"625,000",Semi-Detached,4,1,
"450,000",Semi-Detached,3,1,
"380,000",Terraced,2,1,
"375,000",Flat,2,1,
"525,000",Semi-Detached Bungalow,3,1,
"500,000",End of Terrace,3,2,
"550,000",Terraced,4,2,
"340,000",Flat,2,1,
"185,000",Plot,,,
"400,000",End of Terrace,2,2,762
"390,000",End of Terrace,2,1,
"725,000",Semi-Detached,4,2,
"485,000",Semi-Detached,4,1,
"400,000",Terraced,2,1,
"625,000",Semi-Detached,3,1,
"450,000",Terraced,2,1,
"300,000",Terraced,2,1,
"650,000",Semi-Detached,3,,
"305,000",Flat,2,1,
"575,000",End of Terrace,4,2,
"649,000",Semi-Detached,4,2,
"600,000",Semi-Detached,4,2,
"375,000",Terraced,2,1,
"400,000",Semi-Detached,3,1,
"229,950",Flat,1,1,
"700,000",Semi-Detached,5,3,
"245,000",Flat,1,1,
"400,000",Semi-Detached,3,1,
"300,000",Apartment,2,2,
"550,000",End of Terrace,4,3,"1,263"
"450,000",Terraced,3,1,
"320,000",Flat,3,1,840
"281,000",Terraced,3,1,
"425,000",Terraced,3,1,
"285,000",Flat,1,1,
"200,000",Flat,1,1,
"270,000",Flat,2,1,
"699,995",Semi-Detached,4,3,
"250,000",Flat,2,1,
"450,000",Semi-Detached,3,1,
"429,500",Semi-Detached,4,2,
"650,000",Semi-Detached,4,2,
"450,000",Terraced,3,,
"500,000",Terraced,3,2,
"350,000",Flat,3,1,
"525,000",End of Terrace,4,2,
"475,000",Semi-Detached,3,1,
"475,000",Semi-Detached,3,1,
"500,000",Terraced,3,1,
"450,000",End of Terrace,4,2,
"260,000",Flat,2,1,
"400,000",End of Terrace,3,1,
"450,000",Terraced,4,2,
"425,000",Semi-Detached,3,1,
"950,000",Semi-Detached,5,1,
"310,000",Flat,2,1,
"220,000",Ground Flat,1,,
"235,000",Flat,2,1,
"595,000",Bungalow,3,1,
"475,000",End of Terrace,4,1,
"220,000",Flat,2,1,
"375,000",House,2,1,
"550,000",Detached Bungalow,3,1,
"330,000",Ground Flat,2,1,
"164,000",Flat,1,1,
"525,000",Terraced,3,1,
"625,000",Semi-Detached,4,2,
"450,000",Semi-Detached,3,1,
"750,000",Semi-Detached,5,3,
"350,000",Flat,2,1,
"325,000",End of Terrace,2,1,
"400,000",Terraced,2,1,
"330,000",Terraced,2,1,473
"350,000",Maisonette,2,1,
"475,000",Maisonette,2,1,
"75,000",Flat,3,,
"700,000",Semi-Detached,4,2,
"350,000",Apartment,2,1,
"500,000",Terraced,3,2,
"169,000",Flat,1,1,
"450,000",Semi-Detached,3,1,
"370,000",House,3,1,915
"346,500",Semi-Detached,4,1,
"525,000",Semi-Detached,4,1,
"600,000",Detached,4,1,
"400,000",Terraced,2,1,
"500,000",Semi-Detached,3,2,
"525,000",Flat,2,2,
"250,000",Semi-Detached,3,,
"499,995",Terraced,3,1,
"525,000",Semi-Detached,5,1,
"600,000",Bungalow,2,1,
"260,000",Flat,2,2,
"425,000",Terraced,3,1,
"500,000",Link Detached House,3,2,
"285,000",Flat,2,1,
"499,950",Semi-Detached Bungalow,2,1,
"400,000",End of Terrace,3,1,
"600,000",Semi-Detached,4,2,
"185,000",Retirement Property,2,1,
"425,000",Terraced,3,1,
"240,000",Flat,1,1,
"375,000",Terraced,3,1,
"750,000",Semi-Detached,3,1,
"450,000",Semi-Detached,3,1,
"375,000",Town House,3,2,
"115,000",Flat,,1,
"425,000",End of Terrace,2,1,
"485,000",Terraced,3,2,
"525,000",Link Detached House,3,2,
"530,000",Detached,3,1,
"415,000",Bungalow,2,1,
"500,000",Semi-Detached,3,,
"350,000",Semi-Detached,2,1,
"485,000",Semi-Detached,3,1,
"475,000",End of Terrace,3,2,
"300,000",Flat,3,1,
"700,000",Semi-Detached,3,1,
"450,000",End of Terrace,4,2,
"495,000",Semi-Detached Bungalow,2,1,
"285,000",Flat,2,1,
"210,000",Flat,2,1,
"250,000",Maisonette,2,1,727
"325,000",Maisonette,2,1,
"325,000",Flat,2,1,
"325,000",Bungalow,1,1,
"553,000",End of Terrace,3,2,
"128,500",Flat,1,1,
"550,000",Semi-Detached,3,2,
"450,000",Town House,4,1,
"795,000",Semi-Detached,4,1,
"750,000",Semi-Detached,4,3,
"450,000",Semi-Detached,3,2,
"390,000",Semi-Detached,2,1,
"425,000",Semi-Detached,3,1,930
"450,000",Semi-Detached,2,2,
"535,000",House,3,2,"1,378"
"475,000",Semi-Detached,3,1,
"525,000",Detached,3,1,
"360,000",End of Terrace,3,,
"260,000",Ground Flat,2,,
"3,900,000",Detached,9,9,
"720,000",Detached,5,,
"285,000",Apartment,1,1,546
"260,000",Maisonette,2,1,
"225,000",Ground Maisonette,1,1,
"149,000",Ground Maisonette,1,1,
"950,000",Detached,3,2,
"350,000",Apartment,1,1,
"650,000",Semi-Detached,3,1,
"475,000",Terraced,3,1,
"100,000",Land,,,
"190,000",Flat,1,1,509
"650,000",Semi-Detached,4,2,
"1,275,000",Detached,4,3,
"285,000",Ground Maisonette,2,1,
"675,000",Semi-Detached,3,1,
"475,000",Semi-Detached,3,1,
"158,000",Flat,2,1,
"395,000",Flat,2,1,
"355,000",Terraced,2,1,
"100,000",Flat,2,,
"800,000",Detached Bungalow,3,2,"1,690"
"300,000",Apartment,2,1,
"345,000",End of Terrace,3,1,
"170,000",Retirement Property,1,,
"625,000",Semi-Detached,5,2,
"218,000",Flat,2,2,
"700,000",Semi-Detached,5,2,
"425,000",Bungalow,2,1,
"575,000",Detached Bungalow,3,2,
"465,000",Bungalow,2,1,
"425,000",Semi-Detached,3,1,
"120,000",Flat,1,1,495
"170,000",Apartment,1,1,
"300,000",End of Terrace,2,1,
"630,000",Semi-Detached,4,1,
"600,000",Semi-Detached,3,1,
"450,000",Flat,3,2,
"1,400,000",Detached,5,3,
"148,500",Flat,2,2,
"270,000",Flat,2,2,
"450,000",House,3,1,
"400,000",Semi-Detached,3,1,
"1,350,000",Detached,4,2,
"950,000",Detached,4,2,
"800,000",Semi-Detached,3,1,
"450,000",Semi-Detached,2,1,
"450,000",Semi-Detached,4,2,
"550,000",Semi-Detached,3,2,
"345,000",Flat,3,1,
"80,000",Flat,2,,
"375,000",Flat,2,1,
"450,000",End of Terrace,4,2,
"425,000",Terraced,3,2,
"899,995",Detached,4,2,
"239,000",Maisonette,2,1,
"575,000",End of Terrace,5,3,
"320,000",Apartment,1,1,
"160,000",Apartment,1,1,
"300,000",Land,,,
"425,000",Terraced,3,1,
"600,000",Semi-Detached,5,1,
"180,000",Flat,2,1,
"425,000",End of Terrace,2,1,
"475,000",Terraced,3,1,
"850,000",Detached,4,2,
"450,000",Semi-Detached,3,,
"145,500",Flat,2,1,
"290,000",Flat,1,1,583
"225,000",End of Terrace,3,,
"130,000",Retirement Property,1,1,
"150,000",Retirement Property,1,1,
"275,000",Maisonette,2,1,
"210,000",Flat,1,1,
"84,000",Flat,1,1,
"575,000",House,5,2,
"675,000",Semi-Detached,4,2,
"600,000",Semi-Detached,3,2,
"1,195,000",Detached,5,2,
"130,000",Flat,1,1,
"650,000",Semi-Detached,3,1,
"325,000",Maisonette,2,1,
"400,000",End of Terrace,2,1,
"575,000",Bungalow,4,1,
"450,000",End of Terrace,3,2,
"465,000",Semi-Detached Bungalow,2,1,
"365,000",Terraced,2,1,
"250,000",Flat,2,1,
"510,000",Terraced,3,2,
"200,000",Maisonette,1,1,
"640,000",Semi-Detached,5,2,
"400,000",Flat,2,2,
"875,000",Detached Bungalow,4,4,923
"276,000",Apartment,1,1,538
"276,000",Apartment,1,1,541
"800,000",Detached,3,1,
"283,500",Apartment,1,1,549
"352,000",Apartment,2,2,700
"352,000",Apartment,2,2,732
"225,000",Flat,1,2,
"450,000",Bungalow,2,1,
"535,000",Semi-Detached,3,2,
"300,000",Apartment,2,1,712
"250,000",Apartment,1,1,335
"325,000",Terraced,2,,
"250,000",Flat,2,,
"260,000",Maisonette,2,1,
"400,000",End of Terrace,3,1,
"400,000",Terraced,2,1,
"260,000",Flat,2,1,
"365,000",Semi-Detached,3,1,
"260,000",Retirement Property,2,1,
"600,000",End of Terrace,4,2,
"250,000",Maisonette,3,1,
"350,000",Terraced,2,1,
"500,000",Semi-Detached Bungalow,3,1,
"650,000",Detached,3,1,
"325,000",Flat,2,1,
"525,000",Semi-Detached,4,1,
"385,000",House,4,1,926
"300,000",Flat,2,1,
"400,000",House,3,1,
"325,000",Flat,2,1,
"230,000",Flat,1,1,
"475,000",Semi-Detached,3,1,
"575,000",Semi-Detached Bungalow,2,1,948
"499,950",Semi-Detached,3,,
"400,000",End of Terrace,2,2,762
"295,000",Apartment,1,1,
"825,000",Semi-Detached,4,2,
"570,000",Detached,3,2,
"375,000",Terraced,2,1,
"325,000",Maisonette,2,1,
"375,000",Terraced,2,1,
"600,000",Semi-Detached,4,,
"300,000",Apartment,2,2,893
"235,000",Maisonette,2,,
"485,000",Semi-Detached,3,1,
"305,000",Flat,2,1,
"325,000",Flat,2,2,
"350,000",Flat,2,1,
"650,000",End of Terrace,5,3,
"550,000",Semi-Detached,3,1,
"490,000",Detached,3,,
"525,000",Semi-Detached,4,2,
"165,000",Retirement Property,2,1,
"1,000,000",Detached,5,3,
"580,000",Semi-Detached,5,2,
"260,000",Flat,2,2,
"285,000",,2,1,
"420,000",End of Terrace,3,3,
"550,000",Semi-Detached,3,1,
"260,000",Apartment,2,2,
"499,000",Terraced,4,3,
"265,000",Flat,,1,
"375,000",Flat,2,1,
"275,000",Flat,1,1,
"950,000",Detached,4,1,"2,031"
"650,000",Semi-Detached,6,3,
"575,000",Semi-Detached,3,1,
"499,995",Bungalow,2,1,
"475,000",Terraced,3,1,
"366,500",Apartment,2,1,706
"288,500",Apartment,1,1,587
"275,000",Apartment,1,1,541
"275,000",Apartment,1,1,549
"215,000",Maisonette,1,1,
"700,000",Semi-Detached,4,2,
"475,000",Cottage,3,1,
"685,000",Bungalow,4,2,
"725,000",Detached,4,1,
"675,000",Link Detached House,4,2,
"170,000",Flat,2,1,
"290,000",Flat,1,1,749
"370,000",Flat,2,2,"1,168"
"550,000",Semi-Detached,3,1,
"325,000",Flat,2,2,
"725,000",Semi-Detached,4,2,
"265,000",Flat,,1,
"275,000",Flat,1,1,
"250,000",Flat,2,1,
"750,000",Semi-Detached,5,2,
"700,000",Semi-Detached,6,,
"500,000",Semi-Detached,3,1,
"350,000",Terraced,3,1,
"550,000",Land,5,2,
"485,000",Semi-Detached,2,1,
"580,000",End of Terrace,3,1,
"550,000",Semi-Detached,4,1,
"350,000",Semi-Detached,3,1,966
"400,000",Terraced,2,1,
"165,000",Flat,1,1,
"475,000",Semi-Detached,4,2,
"500,000",House,3,1,
"625,000",Apartment,3,2,
"425,000",Semi-Detached,3,2,
"380,000",Terraced,2,1,
"350,000",Flat,2,1,
"289,995",Flat,2,2,
"375,000",Terraced,3,1,714
"525,000",Semi-Detached,3,2,
"220,000",Flat,1,1,
"425,000",Terraced,3,1,
"235,000",Flat,1,1,
"500,000",Semi-Detached,3,1,81
"450,000",Semi-Detached,3,1,
"150,000",Flat,1,1,
"385,000",Bungalow,2,1,
"450,000",Semi-Detached,3,1,
"575,000",Semi-Detached,5,,
"330,500",Semi-Detached Bungalow,2,1,
"500,000",Semi-Detached Bungalow,2,1,
"525,000",End of Terrace,4,,
"550,000",Semi-Detached,4,2,
"750,000",Detached,3,2,
"1,200,000",Detached,4,3,"1,874"
"525,000",House,3,1,
"450,000",End of Terrace,3,2,
"400,000",Apartment,2,2,825
"320,000",Maisonette,2,1,
"550,000",Semi-Detached,5,1,
"235,000",Flat,1,1,
"389,000",Apartment,2,2,762
"412,500",Apartment,2,2,802
"385,000",Apartment,2,2,737
"285,000",Apartment,1,1,546
"320,000",Apartment,2,,664
"425,000",House,3,1,915
"290,000",Apartment,1,1,588
"275,000",Ground Maisonette,2,1,
"353,000",Semi-Detached,3,1,
"535,000",Semi-Detached,3,1,
"750,000",Semi-Detached,6,2,
"165,000",Flat,1,1,
"625,000",Detached,4,2,
"375,000",Flat,2,1,
"420,000",Flat,2,1,
"450,000",Terraced,3,1,
"460,000",House,3,2,"1,130"
"350,000",Semi-Detached Bungalow,2,1,
"190,000",Flat,1,1,
"425,000",Detached Bungalow,2,1,
"795,000",Bungalow,4,2,
"260,000",Apartment,2,2,
"425,000",End of Terrace,3,1,
"420,000",Terraced,3,1,
"315,000",Terraced,2,1,
"215,000",Studio,,1,
"215,000",Flat,1,1,
"355,000",Maisonette,2,1,
"290,000",House,1,1,
"525,000",Semi-Detached,3,1,
"300,000",Apartment,2,1,712
"625,000",Bungalow,5,2,
"400,000",Terraced,4,3,
"265,000",Apartment,2,1,
"240,000",Maisonette,2,1,646
"125,000",Flat,1,1,
"220,000",,1,,
"200,000",Maisonette,1,1,
"260,000",Apartment,2,2,
"525,000",Semi-Detached,4,3,"1,176"
"700,000",Detached,3,2,
"250,000",Semi-Detached,1,1,
"825,000",Detached,3,2,
"675,000",Detached,3,2,
"225,000",Flat,2,1,
"294,000",Flat,2,1,
"875,000",Semi-Detached,4,2,
"550,000",Semi-Detached,3,2,
"165,000",Flat,2,1,
"250,000",Flat,2,1,
"1,000,000",Detached,5,3,
"625,000",Detached,4,2,
"325,000",Terraced,2,1,
"280,000",Flat,2,2,
"120,000",Flat,1,1,495
"475,000",Semi-Detached,3,1,
"525,000",Semi-Detached,4,2,"1,313"
"650,000",Detached,3,1,
"575,000",Detached,3,3,
"400,000",Terraced,3,1,
"750,000",Detached,5,2,
"350,000",Flat,3,2,
"425,000",Terraced,3,1,
"725,000",Semi-Detached,5,2,
"273,000",Apartment,1,,566
"535,000",End of Terrace,4,1,
"425,000",Terraced,2,1,
"550,000",Semi-Detached,4,1,
"270,000",Flat,1,1,
"240,000",Maisonette,3,1,
"325,000",Terraced,2,1,
"125,000",Flat,1,1,
"550,000",Semi-Detached,3,1,"1,130"
"140,000",Flat,1,1,
"499,995",Semi-Detached,3,1,"1,260"
"525,000",Semi-Detached Bungalow,2,1,
"300,000",Apartment,2,2,
"475,000",Bungalow,2,1,
"200,000",Maisonette,2,1,
"850,000",Semi-Detached,4,1,
"350,000",Flat,2,2,
"270,000",Maisonette,2,1,
"550,000",Semi-Detached,3,2,
"425,000",Bungalow,2,1,
"580,000",Terraced,3,,
"450,000",Semi-Detached,3,1,
"550,000",Semi-Detached,3,,
"250,000",Retirement Property,1,1,
"280,000",Flat,2,1,
"475,000",Semi-Detached,3,1,
"425,000",House,3,1,915
"300,000",Semi-Detached,3,1,
"599,995",Semi-Detached,4,4,
"270,000",Apartment,2,1,
"395,000",End of Terrace,3,2,
"475,000",Semi-Detached,3,1,
"500,000",Semi-Detached,3,1,
"370,000",House,2,1,
"680,000",Terraced,3,3,
"250,000",Semi-Detached,3,,
"210,000",Apartment,1,1,
"760,000",Terraced,4,4,
"280,000",Flat,2,1,
"300,000",Flat,1,1,
"760,000",Terraced,4,4,
"450,000",End of Terrace,4,2,
"155,000",Flat,1,1,420
"375,000",Terraced,2,1,
"550,000",Semi-Detached,4,3,
"850,000",Detached,7,2,
"400,000",Terraced,3,1,
"375,000",Terraced,2,1,
"800,000",Detached Bungalow,4,2,
"112,000",Flat,2,1,
"800,000",Detached,4,1,
"470,000",End of Terrace,3,1,970
"750,000",Semi-Detached,7,3,
"800,000",Bungalow,4,2,
"450,000",End of Terrace,3,2,
"480,000",Detached,3,1,
"375,000",End of Terrace,2,1,
"525,000",Semi-Detached,4,1,
"400,000",House,2,1,
"125,000",Flat,1,1,
"500,000",Semi-Detached,3,2,"1,119"
"500,000",Semi-Detached,3,1,
"650,000",Semi-Detached,5,3,
"550,000",Semi-Detached,3,2,
"281,000",Semi-Detached,3,2,
"425,000",Semi-Detached,3,2,
"350,000",Flat,2,2,
"500,000",Semi-Detached,4,1,
"385,000",Flat,2,1,
"425,000",End of Terrace,3,1,
"375,000",Semi-Detached,2,1,
"375,000",Terraced,3,1,
"600,000",Semi-Detached,3,2,
"525,000",Semi-Detached,3,1,
"600,000",Detached,3,2,
"575,000",Semi-Detached,4,2,
"450,000",Semi-Detached,3,1,868
"385,000",Semi-Detached,2,1,
"615,000",Semi-Detached,3,1,
"550,000",End of Terrace,5,2,
"850,000",Semi-Detached,3,,
"200,000",Flat,1,1,
"550,000",Semi-Detached,3,1,
"395,000",Terraced,2,1,
"475,000",Terraced,3,1,
"775,000",Semi-Detached,4,3,"1,575"
"1,100,000",Detached,4,2,
"485,000",Semi-Detached,3,2,
"500,000",Semi-Detached,5,1,
"345,000",Flat,2,1,
"400,000",Semi-Detached,3,1,
"350,000",Flat,3,1,
"150,000",Flat,1,1,
"510,000",End of Terrace,4,2,
"270,000",Apartment,2,1,
"425,000",Semi-Detached,3,2,
"575,000",Semi-Detached,4,2,
"325,000",Flat,3,2,
"490,000",Semi-Detached,3,1,
"550,000",Semi-Detached,4,2,
"525,000",Detached Bungalow,3,1,
"375,000",Terraced,3,1,
"450,000",Bungalow,3,2,
"635,000",Semi-Detached,4,,
"625,000",Bungalow,3,2,
"325,000",House,2,1,
"335,000",House,3,1,699
"500,000",Semi-Detached,3,1,
"250,000",Maisonette,2,1,
"425,000",Terraced,2,1,
"700,000",Detached,3,1,
"525,000",Semi-Detached,3,2,
"270,000",Apartment,2,1,
"650,000",Detached,4,2,
"425,000",Semi-Detached,3,1,
"500,000",Semi-Detached,3,1,
"750,000",Semi-Detached,4,3,"1,582"
"365,000",House,2,1,614
"325,000",,2,1,
"415,000",Terraced,3,1,
"630,000",Bungalow,3,1,
"415,000",Detached,3,2,
"700,000",Semi-Detached,3,3,
"400,000",Semi-Detached,3,1,
"264,000",Semi-Detached,3,1,
"400,000",Terraced,3,1,
"325,000",Terraced,2,1,
"270,000",Flat,2,1,
"435,000",Terraced,2,2,
"500,000",Semi-Detached,4,1,
"400,000",Semi-Detached,2,1,
"725,000",Detached,3,1,
"500,000",Semi-Detached,4,2,"1,792"
"550,000",Semi-Detached,3,1,
"409,995",Terraced,2,1,
"625,000",Semi-Detached,4,2,
"700,000",Semi-Detached,3,1,
"425,000",End of Terrace,3,1,
"175,000",Apartment,1,1,
"675,000",Detached,3,2,
"585,000",End of Terrace,4,2,
"375,000",Flat,2,1,
"190,000",Apartment,2,,
"475,000",Bungalow,3,1,
"450,000",Bungalow,2,1,
"578,000",Semi-Detached,4,2,
"372,000",Terraced,2,1,
"575,000",Bungalow,3,2,
"375,000",Semi-Detached,2,1,
"600,000",End of Terrace,5,2,
"750,000",Bungalow,3,2,
"413,000",Semi-Detached,4,2,
"625,000",Semi-Detached,4,2,
"295,000",Flat,2,1,
"290,000",Maisonette,2,1,
"475,000",Semi-Detached,3,1,
"120,000",Flat,1,1,
"265,000",Flat,1,1,
"625,000",Bungalow,2,2,
