Price (£),Property Type,Bedrooms,Bathrooms,"Size, sq. ft."
"449,995",Apartment,1,1,551
"750,000",Flat,2,2,"1,276"
"300,000",Flat,2,1,
"385,000",,1,1,
"550,000",Apartment,2,2,
"265,000",Flat,1,1,
"395,000",Terraced,2,1,
"350,000",Apartment,,1,
"350,000",Flat,3,1,
"265,000",Flat,2,1,
"475,000",Flat,2,1,570
"325,000",Flat,2,2,
"595,000",End of Terrace,3,1,
"525,000",Semi-Detached,3,,
"300,000",Flat,1,1,
"625,000",Flat,2,2,
"450,000",Terraced,2,,
"465,000",Apartment,,1,
"367,500",Terraced,2,1,
"400,000",Terraced,3,1,
"595,000",Maisonette,2,1,
"565,000",Terraced,2,2,
"675,000",Town House,3,1,
"380,000",Apartment,2,1,689
"300,000",Flat,2,1,
"475,000",Terraced,2,1,
"600,000",Flat,2,2,
"575,000",Flat,2,2,
"500,000",House,3,1,
"500,000",Terraced,3,1,
"435,000",Apartment,1,1,
"490,000",Flat,2,2,775
"1,100,000",Semi-Detached,3,1,
"450,000",Town House,4,3,
"285,000",Flat,2,,
"510,000",Terraced,4,1,
"489,950",Flat,2,2,
"650,000",Terraced,3,1,
"360,000",Bungalow,2,1,
"510,000",Terraced,4,2,
"435,000",Flat,1,1,520
"725,000",House,3,1,"1,198"
"660,000",Flat,2,2,945
"1,000,000",Semi-Detached,4,2,"1,721"
"700,000",Semi-Detached,4,1,"1,382"
"475,000",Terraced,3,2,
"265,000",Flat,2,2,
"324,995",Apartment,,1,
"700,000",Semi-Detached,4,2,
"350,000",Apartment,1,1,574
"490,000",Apartment,2,2,
"695,000",Semi-Detached,3,1,
"585,000",Flat,2,2,
"275,000",Flat,1,1,
"325,000",Flat,3,1,
"280,000",Flat,2,1,
"350,000",Apartment,2,1,
"435,000",Flat,2,2,
"400,000",Apartment,2,1,
"692,500",Flat,2,2,
"650,000",Semi-Detached,3,1,"1,502"
"715,000",Semi-Detached,2,2,
"920,000",Apartment,3,2,
"725,000",Apartment,3,2,
"325,000",Flat,2,2,
"849,950",Semi-Detached,4,4,
"475,000",Apartment,2,2,
"300,000",Apartment,2,1,613
"375,000",Apartment,2,,
"470,000",Apartment,2,2,
"650,000",Terraced,3,2,
"500,000",Flat,2,2,
"1,250,000",Detached,5,2,
"600,000",Semi-Detached,3,2,
"295,000",Maisonette,2,1,
"600,000",Ground Flat,2,1,
"575,000",Apartment,3,1,752
"495,000",Terraced,3,1,
"425,000",Flat,2,1,
"600,000",Semi-Detached,3,1,"1,154"
"650,000",Apartment,3,2,
"400,000",Flat,2,1,
"315,000",Flat,2,1,
"435,000",Apartment,,1,
"459,995",Terraced,3,1,
"425,000",Terraced,3,2,
"425,000",Terraced,3,,
"345,000",Apartment,2,2,
"475,000",Terraced,3,2,
"2,500,000",Detached,4,4,"2,930"
"295,000",Flat,1,1,
"450,000",Flat,2,1,
"2,500,000",Detached,5,4,
"625,000",Semi-Detached,3,1,
"220,000",Apartment,1,1,560
"390,000",Apartment,1,1,567
"1,150,000",Terraced,4,2,
"320,000",Apartment,2,1,
"495,000",Maisonette,3,1,
"535,000",Terraced,2,1,"1,158"
"800,000",Apartment,3,2,
"600,000",Semi-Detached,3,,
"730,000",Semi-Detached,3,1,
"375,000",Terraced,2,1,
"1,400,000",Semi-Detached,3,2,
"350,000",End of Terrace,2,1,799
"549,500",Terraced,3,1,
"290,000",Apartment,2,2,807
"425,000",Terraced,3,1,
"775,000",End of Terrace,3,1,
"250,000",Flat,2,1,
"440,000",Apartment,1,1,588
"305,000",Flat,2,1,
"750,000",Flat,2,2,
"289,995",Flat,1,1,
"900,000",Semi-Detached,5,3,
"430,000",Apartment,2,2,
"600,000",Semi-Detached,3,1,
"450,000",Apartment,2,2,
"450,000",Terraced,3,1,
"280,000",Maisonette,2,1,
"450,000",Semi-Detached,3,1,
"450,000",Terraced,3,1,
"875,000",Flat,4,1,
"275,000",Flat,2,1,
"775,000",End of Terrace,3,1,
"237,500",Flat,2,1,
"289,000",Flat,1,1,
"1,400,000",Detached,5,3,
"850,000",End of Terrace,5,4,
"850,000",End of Terrace,5,4,
"695,000",Terraced,4,1,
"400,000",Flat,2,1,
"575,000",Terraced,2,1,
"375,000",Flat,2,1,
"395,000",Apartment,1,1,
"495,000",Apartment,2,2,
"550,000",Flat,2,2,739
"500,000",Semi-Detached,3,1,765
"400,000",House,2,1,
"450,000",House,3,1,980
